[dotenv@17.2.3] injecting env (6) from .env -- tip: 🔐 prevent building .env in docker: https://dotenvx.com/prebuild
==============================================
DATABASE CONNECTION: D:\Z-ON DOOR 2024\zon app\server\database.sqlite
==============================================
Database connected and schema updated.
>>> SERVER RESTART: Stock Logic v2 is ACTIVE <<<
Server is running on port 5000
[2026-06-17T09:19:25.076Z] GET /api/notifications from 127.0.0.1
[2026-06-17T09:20:25.069Z] GET /api/notifications from 127.0.0.1
[2026-06-17T09:20:25.100Z] GET /api/notifications from 127.0.0.1
[2026-06-17T09:21:25.378Z] GET /api/notifications from 127.0.0.1
[2026-06-17T09:21:25.388Z] GET /api/notifications from 127.0.0.1
[2026-06-17T09:22:25.075Z] GET /api/notifications from 127.0.0.1
[2026-06-17T09:22:25.088Z] GET /api/notifications from 127.0.0.1
[2026-06-17T09:23:25.377Z] GET /api/notifications from 127.0.0.1
[2026-06-17T09:23:25.380Z] GET /api/notifications from 127.0.0.1
[2026-06-17T09:24:25.082Z] GET /api/notifications from 127.0.0.1
[2026-06-17T09:24:25.087Z] GET /api/notifications from 127.0.0.1
[2026-06-17T09:25:25.072Z] GET /api/notifications from 127.0.0.1
[2026-06-17T09:25:25.098Z] GET /api/notifications from 127.0.0.1
[2026-06-17T09:26:25.392Z] GET /api/notifications from 127.0.0.1
[2026-06-17T09:26:25.396Z] GET /api/notifications from 127.0.0.1
[2026-06-17T09:27:25.074Z] GET /api/notifications from 127.0.0.1
[2026-06-17T09:27:25.079Z] GET /api/notifications from 127.0.0.1
[2026-06-17T09:28:25.073Z] GET /api/notifications from 127.0.0.1
[2026-06-17T09:28:25.077Z] GET /api/notifications from 127.0.0.1
[2026-06-17T09:29:25.375Z] GET /api/notifications from 127.0.0.1
[2026-06-17T09:29:25.392Z] GET /api/notifications from 127.0.0.1
[2026-06-17T09:30:25.070Z] GET /api/notifications from 127.0.0.1
[2026-06-17T09:30:25.074Z] GET /api/notifications from 127.0.0.1
[2026-06-17T09:31:25.074Z] GET /api/notifications from 127.0.0.1
[2026-06-17T09:31:25.079Z] GET /api/notifications from 127.0.0.1
[2026-06-17T09:32:25.389Z] GET /api/notifications from 127.0.0.1
[2026-06-17T09:32:25.393Z] GET /api/notifications from 127.0.0.1
[2026-06-17T09:33:25.070Z] GET /api/notifications from 127.0.0.1
[2026-06-17T09:33:25.076Z] GET /api/notifications from 127.0.0.1
[2026-06-17T09:34:25.078Z] GET /api/notifications from 127.0.0.1
[2026-06-17T09:34:25.083Z] GET /api/notifications from 127.0.0.1
[2026-06-17T09:35:25.382Z] GET /api/notifications from 127.0.0.1
[2026-06-17T09:35:25.386Z] GET /api/notifications from 127.0.0.1
[2026-06-17T09:36:25.072Z] GET /api/notifications from 127.0.0.1
[2026-06-17T09:36:25.081Z] GET /api/notifications from 127.0.0.1
[2026-06-17T09:37:25.063Z] GET /api/notifications from 127.0.0.1
[2026-06-17T09:37:25.077Z] GET /api/notifications from 127.0.0.1
[2026-06-17T09:38:25.378Z] GET /api/notifications from 127.0.0.1
[2026-06-17T09:38:25.382Z] GET /api/notifications from 127.0.0.1
[2026-06-17T09:39:25.065Z] GET /api/notifications from 127.0.0.1
[2026-06-17T09:39:25.070Z] GET /api/notifications from 127.0.0.1
[2026-06-17T09:40:25.382Z] GET /api/notifications from 127.0.0.1
[2026-06-17T09:40:25.386Z] GET /api/notifications from 127.0.0.1
[2026-06-17T09:41:25.076Z] GET /api/notifications from 127.0.0.1
[2026-06-17T09:41:25.080Z] GET /api/notifications from 127.0.0.1
[2026-06-17T09:42:25.075Z] GET /api/notifications from 127.0.0.1
[2026-06-17T09:42:25.080Z] GET /api/notifications from 127.0.0.1
[2026-06-17T09:43:25.379Z] GET /api/notifications from 127.0.0.1
[2026-06-17T09:43:25.387Z] GET /api/notifications from 127.0.0.1
[2026-06-17T09:44:25.081Z] GET /api/notifications from 127.0.0.1
[2026-06-17T09:44:25.085Z] GET /api/notifications from 127.0.0.1
[2026-06-17T09:45:25.065Z] GET /api/notifications from 127.0.0.1
[2026-06-17T09:45:25.068Z] GET /api/notifications from 127.0.0.1
[2026-06-17T09:46:25.388Z] GET /api/notifications from 127.0.0.1
[2026-06-17T09:46:25.393Z] GET /api/notifications from 127.0.0.1
