[dotenv@17.2.3] injecting env (6) from .env -- tip: 🔐 prevent building .env in docker: https://dotenvx.com/prebuild
==============================================
DATABASE CONNECTION: D:\Z-ON DOOR 2024\zon app\server\database.sqlite
==============================================
Database connected and schema updated.
>>> SERVER RESTART: Stock Logic v2 is ACTIVE <<<
Server is running on port 5000
[2026-06-15T20:19:44.975Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-15T20:19:46.795Z] GET /api/notifications from 127.0.0.1
[2026-06-15T20:19:49.980Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-15T20:19:51.824Z] GET /api/notifications from 127.0.0.1
[2026-06-15T20:20:41.298Z] GET /api/notifications from 127.0.0.1
[2026-06-15T20:20:42.923Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-15T20:20:42.930Z] GET /api/notifications from 127.0.0.1
[2026-06-15T20:21:40.979Z] GET /api/notifications from 127.0.0.1
[2026-06-15T20:21:42.521Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-15T20:21:42.920Z] GET /api/notifications from 127.0.0.1
[2026-06-15T20:22:40.975Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-15T20:22:41.274Z] GET /api/notifications from 127.0.0.1
[2026-06-15T20:22:41.647Z] GET /api/notifications from 127.0.0.1
[2026-06-15T20:23:40.985Z] GET /api/notifications from 127.0.0.1
[2026-06-15T20:23:42.578Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-15T20:23:42.973Z] GET /api/notifications from 127.0.0.1
[2026-06-16T07:44:53.853Z] GET /api/notifications from 127.0.0.1
[2026-06-16T07:44:53.880Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-16T07:44:56.464Z] GET /api/notifications from 127.0.0.1
[2026-06-16T07:44:57.988Z] GET /api/notifications from 127.0.0.1
[2026-06-16T07:44:59.987Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-16T07:45:00.011Z] GET /api/notifications from 127.0.0.1
[2026-06-16T07:45:31.962Z] GET /api/notifications from 127.0.0.1
[2026-06-16T07:45:31.971Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-16T07:45:32.419Z] GET /api/notifications from 127.0.0.1
[2026-06-16T07:46:31.646Z] GET /api/notifications from 127.0.0.1
[2026-06-16T07:46:31.672Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-16T07:46:32.184Z] GET /api/notifications from 127.0.0.1
[2026-06-16T07:47:31.661Z] GET /api/notifications from 127.0.0.1
[2026-06-16T07:47:31.724Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-16T07:47:32.290Z] GET /api/notifications from 127.0.0.1
[2026-06-16T07:48:31.969Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-16T07:48:31.971Z] GET /api/notifications from 127.0.0.1
[2026-06-16T07:48:32.358Z] GET /api/notifications from 127.0.0.1
[2026-06-16T07:49:31.661Z] GET /api/notifications from 127.0.0.1
[2026-06-16T07:49:31.665Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-16T07:49:32.080Z] GET /api/notifications from 127.0.0.1
[2026-06-16T07:50:31.646Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-16T07:50:31.647Z] GET /api/notifications from 127.0.0.1
[2026-06-16T07:50:32.080Z] GET /api/notifications from 127.0.0.1
[2026-06-16T07:51:31.975Z] GET /api/notifications from 127.0.0.1
[2026-06-16T07:51:31.976Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-16T07:51:32.392Z] GET /api/notifications from 127.0.0.1
[2026-06-16T07:52:31.648Z] GET /api/notifications from 127.0.0.1
[2026-06-16T07:52:31.655Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-16T07:52:32.175Z] GET /api/notifications from 127.0.0.1
[2026-06-16T07:53:31.655Z] GET /api/notifications from 127.0.0.1
[2026-06-16T07:53:31.656Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-16T07:53:32.146Z] GET /api/notifications from 127.0.0.1
[2026-06-16T07:54:31.962Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-16T07:54:31.963Z] GET /api/notifications from 127.0.0.1
[2026-06-16T07:54:32.502Z] GET /api/notifications from 127.0.0.1
[2026-06-16T07:55:31.654Z] GET /api/notifications from 127.0.0.1
[2026-06-16T07:55:31.658Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-16T07:55:32.124Z] GET /api/notifications from 127.0.0.1
[2026-06-16T07:56:31.661Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-16T07:56:31.662Z] GET /api/notifications from 127.0.0.1
[2026-06-16T07:56:32.190Z] GET /api/notifications from 127.0.0.1
[2026-06-16T07:57:31.957Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-16T07:57:31.958Z] GET /api/notifications from 127.0.0.1
[2026-06-16T07:57:32.432Z] GET /api/notifications from 127.0.0.1
